input,output,type
updateMday_golden_0011,"Le scheduler repose sur APScheduler, configuré pour exécuter des tâches planifiées comme la synchronisation avec Monday.com, le nettoyage des logs, et les relances automatiques de validations humaines expirées. Chaque job est stocké dans la base PostgreSQL avec son ID unique, son intervalle et son statut. Le scheduler redémarre automatiquement les jobs en cas de redéploiement. Un endpoint /scheduler/status permet de consulter les jobs actifs.",analysis
updateMday_golden_0012,"Le module github_tool encapsule les interactions GitHub via PyGitHub. Il fournit des méthodes pour : créer des branches, ouvrir des pull requests, commenter du code, récupérer les fichiers modifiés, et analyser les commits récents. Il inclut aussi une logique de fallback locale pour les opérations hors ligne. L’authentification se fait par token personnel GitHub stocké dans les variables d’environnement.",pr
updateMday_golden_0013,"Le router d’intention s’appuie sur un modèle de classification textuelle (LLM fine-tuné) qui analyse le contenu de la requête issue de Monday.com. Il renvoie un label : 'question', 'commande', 'analyse', ou 'erreur'. Ce label oriente ensuite le flux LangGraph vers le nœud approprié (ex: analyze_node ou implement_node). Une règle de confiance (threshold 0.75) déclenche une revalidation humaine si le score est faible.",analysis
updateMday_golden_0014,"Lorsqu’une exception survient, elle est interceptée par un middleware FastAPI. Le logger capture le message, la stacktrace et le contexte (user, tâche, module). Une notification est envoyée dans Monday.com (colonne 'Status' mise à jour en 'Erreur'). Le système stocke aussi l’erreur dans une table error_log avec les détails pour le débogage. Certaines erreurs critiques déclenchent un rollback automatique de la tâche.",analysis
updateMday_golden_0015,"L’évaluation se base sur des datasets de référence ('golden datasets') stockés dans /data/golden. À chaque commit, le module evaluation_service exécute des benchmarks : exact match, F1-score, temps de réponse, et taux d’erreur. Les résultats sont agrégés et publiés via un rapport JSON et une page web interactive. Une moyenne glissante sur 10 runs permet de suivre les tendances de performance.",pr
updateMday_golden_0016,"L’authentification utilise JWT (JSON Web Token). Lors du login, l’utilisateur envoie email et mot de passe ; après vérification en base, un token signé avec la clé secrète est retourné. Les endpoints protégés nécessitent ce token dans l’en-tête Authorization. Un middleware FastAPI vérifie la validité et le rôle de l’utilisateur. Les tokens expirent après 24h et peuvent être rafraîchis via /auth/refresh.",analysis
updateMday_golden_0017,"Le node validation_node attend la réponse de validation humaine. Il récupère l’état précédent via le context store, envoie la demande via Monday.com, et reste en attente (pause d’état). Lorsqu’une réponse (approve/reject) arrive, il réactive le flux et route vers la suite correspondante (approve → merge PR / reject → rollback). Il gère aussi les timeouts et les reprises automatiques.",pr
updateMday_golden_0018,"Le pipeline utilise GitHub Actions : 1) étape de linting et tests unitaires (pytest + coverage), 2) build de l’image Docker, 3) déploiement sur Render ou AWS ECS, 4) migrations automatiques via Alembic, 5) notification sur Slack/Monday. Les secrets (DB_URL, GITHUB_TOKEN, REDIS_URL) sont stockés dans GitHub Secrets. Les branches main et dev ont des workflows distincts.",pr
updateMday_golden_0019,"La base PostgreSQL contient les tables principales : users (authentification), tasks (tâches Monday/GitHub), validations (demandes humaines), logs (suivi d’exécution), evaluations (benchmarks), cache (résultats temporaires). Les schémas Pydantic assurent la cohérence, et SQLAlchemy ORM gère la persistance. Des index sont ajoutés sur task_id, status, et created_at pour optimiser les requêtes.",analysis
updateMday_golden_0020,"Plusieurs stratégies : 1) Uvicorn avec workers multiples (gunicorn -w 4 -k uvicorn.workers.UvicornWorker), 2) utilisation de Redis pour le cache, 3) scaling horizontal via Docker Swarm ou Kubernetes, 4) base PostgreSQL répliquée, 5) rate limiting par clé API, 6) circuit breaker pour les services externes. Le monitoring est assuré par Prometheus + Grafana.",analysis
updateMday_golden_0021,"Sur Render : créer un service web, connecter le repo GitHub, définir la commande de démarrage 'uvicorn main:app --host 0.0.0.0 --port 10000', ajouter les variables d’environnement (DATABASE_URL, API_KEY, etc.), et activer le déploiement automatique. Sur Railway, même logique avec le buildpack Python et le port exposé par $PORT. Les logs sont consultables via le tableau de bord Render/Railway.",analysis
updateMday_golden_0022,"Le module agent_service gère la logique d’orchestration entre les différents outils et nœuds LangGraph. Il initialise les contextes de tâche, déclenche les analyses, surveille les transitions d’état, et stocke les résultats. Il agit comme un contrôleur central entre Monday.com, GitHub et la base de données. C’est le cœur du système décisionnel.",analysis
updateMday_golden_0023,"Les logs sont gérés par un logger personnalisé basé sur Python logging. Chaque événement (info, warning, error, debug) est envoyé à trois destinations : console, fichier rotatif (via RotatingFileHandler), et base PostgreSQL. Un identifiant unique par requête permet de tracer chaque workflow. Des filtres sont appliqués pour masquer les données sensibles avant stockage.",analysis
updateMday_golden_0024,"Les webhooks sont sécurisés via un secret partagé. Chaque payload inclut un header de signature HMAC-SHA256, vérifié côté serveur avec la clé configurée. Si la signature est invalide, la requête est rejetée avec un code 401. Les IP autorisées sont whitelistes, et un token d’accès temporaire limite la durée de validité. Un anti-replay nonce est ajouté pour éviter les duplications.",analysis
updateMday_golden_0025,"Utiliser la classe TestClient fournie par FastAPI. Exemple : from fastapi.testclient import TestClient ; client = TestClient(app). Ensuite, écrire des tests avec pytest pour chaque endpoint, en vérifiant le status_code, la structure JSON et les erreurs. Les dépendances (DB, cache) peuvent être mockées avec fixtures. Les tests s’exécutent via 'pytest -v --disable-warnings'.",analysis
updateMday_golden_0026,"Créer un composant TaskList qui récupère les données via fetch('/api/tasks'). Utiliser useEffect pour charger les données et useState pour les stocker. Afficher un tableau responsive avec nom, statut, et responsable. Ajouter un filtre de recherche et un indicateur de chargement. Utiliser Tailwind ou Material UI pour le style, et prop-types pour la validation des props.",analysis
updateMday_golden_0027,"Un agent réactif agit directement en réponse à l’environnement (stimulus → action), sans planification à long terme. Il est rapide mais limité en raisonnement. Un agent délibératif maintient un modèle interne du monde, planifie ses actions en fonction de ses buts, et peut raisonner sur l’avenir. Dans un système hybride, l’agent combine les deux approches : réaction rapide + planification stratégique.",analysis
updateMday_golden_0028,"La configuration est centralisée dans un fichier config.py, utilisant pydantic.BaseSettings. Les variables sont chargées depuis l’environnement (.env) et validées au démarrage. Les sections incluent : database, github, monday, redis, evaluation. Un singleton Config est injecté dans les services pour éviter les duplications. Les secrets ne sont jamais commités.",pr
updateMday_golden_0029,"Il charge les jeux de test depuis /data/golden, exécute les réponses de l’agent sur chaque entrée, et compare avec les sorties attendues. Il calcule des métriques (accuracy, recall, F1) et génère un rapport global. Les résultats sont sauvegardés dans la table evaluations et exposés via un endpoint /evaluation/report. Un dashboard web affiche les tendances des performances dans le temps.",analysis
updateMday_golden_0030,"Pour créer un bouton HTML stylé, utiliser <button class='btn-primary'>Valider</button> avec des classes Tailwind comme bg-blue-500 hover:bg-blue-600 text-white font-semibold py-2 px-4 rounded-xl transition-all. Pour les interactions, ajouter un listener onClick ou un handler React. Ajouter des états disabled/hover/focus pour une UX fluide.",analysis
updateMday_golden_0031,"Placer le modèle (Pickle, Torch, ou ONNX) dans /models/ml/. Charger le modèle au démarrage via un singleton MLService. Créer un endpoint /predict acceptant JSON {features: [...]}, valider les entrées avec Pydantic, et renvoyer la prédiction. Utiliser uvicorn --reload pour test. Pour les modèles lourds, charger le modèle paresseusement ou en thread séparé.",analysis
updateMday_golden_0032,Utiliser WebSockets avec FastAPI. Créer un endpoint /ws/predict où le client envoie un flux de données JSON. Le serveur traite chaque frame via le modèle ML et renvoie la prédiction en direct via websocket.send_json(). Le modèle est préchargé en mémoire. Ajouter un buffer pour éviter la saturation et une métrique de latence moyenne.,analysis
updateMday_golden_0033,"Lier via un mapping dans la base : board_id → repository_name. Lorsqu’un élément Monday change de statut, l’agent récupère la config du mapping et exécute l’action correspondante (création de branche, push, PR). Les IDs Monday sont stockés comme métadonnées dans les commits (ex: [Monday#1234]) pour traçabilité bidirectionnelle.",pr
updateMday_golden_0034,"FastAPI repose sur asyncio et Starlette. Chaque route async exécute du code non bloquant, permettant plusieurs requêtes simultanées. Les dépendances peuvent être async. Les I/O externes (DB, API) utilisent des clients asynchrones (httpx, asyncpg). Pour des tâches longues, utiliser Celery ou LangGraph en tâche de fond.",analysis
updateMday_golden_0035,"Créer un Dockerfile : FROM python:3.11-slim ; COPY . /app ; WORKDIR /app ; RUN pip install -r requirements.txt ; CMD ['uvicorn','main:app','--host','0.0.0.0','--port','8000']. Ajouter un docker-compose.yml pour lier le service à PostgreSQL et
Comment intégrer un système d’authentification JWT dans une API FastAPI ?""",analysis
updateMday_golden_0036,"Installe SQLAlchemy et psycopg2. Crée un fichier database.py qui initialise engine, SessionLocal, et Base. Définis les modèles dans models.py, puis crée un get_db dependency. Utilise db.query(Model).filter(...).all() dans les routes. Configure DATABASE_URL dans un fichier .env. Active les migrations avec alembic pour maintenir le schéma synchronisé.",analysis
updateMday_golden_0037,"Crée un composant Dashboard.jsx qui récupère les données via un endpoint /tasks de FastAPI. Utilise axios pour les appels API et useEffect pour charger les données. Affiche-les dans un tableau avec pagination et filtres. Utilise un graphique avec Recharts pour visualiser la répartition par statut (success, failed, pending). Ajoute une barre de recherche et un bouton de rafraîchissement.",analysis
updateMday_golden_0038,"Crée une instance EC2 avec Ubuntu, installe git, python3, uvicorn, pip. Clone le repo, installe les dépendances avec pip install -r requirements.txt, configure un service systemd pour lancer l’API au démarrage. Ajoute un reverse proxy Nginx sur le port 80 pointant vers localhost:8000. Configure le firewall avec ufw pour autoriser HTTP/HTTPS. Sauvegarde une AMI de l’instance pour réutilisation.",analysis
updateMday_golden_0039,"Utilise la librairie logging ou structlog dans FastAPI. Configure un logger global avec différents niveaux (INFO, ERROR, DEBUG). Redirige les logs vers un fichier local puis vers un service comme ELK Stack ou Grafana Loki. Structure les logs en JSON pour une meilleure recherche. Ajoute un identifiant de corrélation unique (trace_id) pour chaque requête et stocke-le dans le contexte.",analysis
updateMday_golden_0040,"Charge ton modèle avec joblib ou torch.load dans un fichier ml_service.py. Expose un endpoint /predict qui prend une requête JSON, convertit les données d’entrée, exécute model.predict(), et renvoie le résultat. Ajoute un cache Redis pour éviter de recalculer les prédictions fréquentes. Gère les erreurs et formats d’entrée via Pydantic. Surveille la latence et le throughput.",analysis
updateMday_golden_0041,"Utilise l’API GitHub avec le module PyGithub. L’agent clone le repo, crée une nouvelle branche, applique les modifications locales, commit et push. Ensuite, il appelle repo.create_pull(title, body, head, base) pour générer la PR. Ajoute une description avec le résumé des changements et un label automatique (via GitHub Actions). L’agent peut aussi ajouter des reviewers par défaut.",pr
updateMday_golden_0042,"LangGraph permet de structurer un workflow comme un graphe d’états. Chaque nœud représente une étape (analyse, validation, commit, évaluation). Le moteur gère les transitions, les erreurs et la reprise de contexte. On définit le graphe dans un JSON ou Python dict. L’agent navigue entre les nœuds selon le résultat des fonctions et les retours humains. LangGraph facilite la traçabilité et la modularité.",pr
updateMday_golden_0043,"Utilise un bouton <button id='launch-job'>Lancer</button> et attache un listener JavaScript document.getElementById('launch-job').addEventListener('click', ...) qui envoie une requête POST à /jobs/start. Désactive le bouton pendant le traitement et affiche un spinner. Après la réponse, mets à jour l’état du bouton (succès/échec). Ajoute une notification Toast pour le retour utilisateur.",analysis
updateMday_golden_0044,"Ne jamais stocker de clés en dur dans le code. Utilise un fichier .env avec python-dotenv ou un gestionnaire de secrets (AWS Secrets Manager, Vault). Charge les variables avec os.getenv(). Restreins les permissions des fichiers sensibles. Ne push jamais .env sur GitHub. Configure les secrets dans GitHub Actions ou Docker en variables d’environnement.",analysis
updateMday_golden_0045,"Utilise un serveur FastAPI avec WebSocket pour streaming des données. Charge le modèle en mémoire au lancement. Chaque message entrant (JSON) est préprocessé, passé dans le modèle, et le résultat est renvoyé instantanément. Optimise la latence avec TorchScript ou ONNX Runtime. Ajoute un tampon d’entrée pour gérer les rafales de requêtes.",analysis
updateMday_golden_0046,"Collecte les métriques clés : taux de succès, latence moyenne, erreurs par tâche, volume traité. Utilise Prometheus pour exporter les métriques et Grafana pour visualiser. Ajoute un middleware dans FastAPI pour mesurer le temps de réponse. Configure des alertes (Slack ou email) si les seuils dépassent certaines valeurs. Archive les logs d’exécution pour analyse.",analysis
updateMday_golden_0047,"Dans .github/workflows/ci.yml, définis un job avec on: [push, pull_request]. Étapes : 1) checkout, 2) setup Python, 3) install requirements, 4) run tests avec pytest, 5) build Docker image, 6) déploiement sur serveur (via SSH ou Docker Hub). Configure les secrets (SSH_KEY, SERVER_IP). Ajoute un badge de statut dans le README.",analysis
updateMday_golden_0048,"FastAPI génère une doc Swagger automatiquement à /docs et ReDoc à /redoc. Pour enrichir la doc, ajoute des docstrings aux endpoints, définis des descriptions et des exemples dans les schémas Pydantic. Ajoute des tags et des summaries. Pour exporter la doc, utilise fastapi.openapi.utils.get_openapi() et sauvegarde le schéma JSON.",analysis
updateMday_golden_0049,Utilise un gestionnaire de tâches comme Celery avec RabbitMQ. Chaque agent publie des tâches dans une queue et récupère les résultats. Configure des workers parallèles pour la scalabilité. Utilise un système de callbacks ou Redis Streams pour notifier la fin d’une tâche. Synchronise les résultats dans PostgreSQL. LangGraph peut coordonner les dépendances entre agents.,analysis
updateMday_golden_0050,"Installe slack_sdk. Crée une app Slack avec un token Bot. Dans l’agent, ajoute une fonction send_slack_message(channel, text) qui utilise WebClient(token).chat_postMessage(). Configure les canaux selon les événements (succès, erreur, validation requise). Utilise des emojis pour signaler le statut. Garde le token dans un secret.",analysis
updateMday_golden_0051,"Structure ton projet avec setup.py et un répertoire src/mon_module. Définis les dépendances dans pyproject.toml. Ajoute un fichier __init__.py pour rendre le dossier importable. Publie le package sur PyPI avec twine. Ajoute des tests unitaires, un README complet et un changelog.",analysis
updateMday_golden_0052,"Utilise pip-tools ou dependabot. Avec pip-tools, crée un fichier requirements.in, puis exécute pip-compile pour générer un requirements.txt figé. Automatise avec un cron ou GitHub Action qui teste les mises à jour sur une branche temporaire. Pour Dependabot, configure .github/dependabot.yml pour surveiller les dépendances et créer des PR automatiques.",pr
updateMday_golden_0053,"Utilise Authlib pour gérer OAuth2. Crée un endpoint /auth/google qui redirige vers Google OAuth. Après la redirection, récupère le code d’autorisation et échange-le contre un token. Vérifie l’utilisateur via l’API Google People et stocke-le en base. Retourne un JWT à ton frontend pour authentification persistante. Sécurise avec HTTPS et scopes limités.",analysis
updateMday_golden_0054,"Installe redis et configure un client global dans cache_service.py. Utilise await redis.set(key, value, ex=ttl) et await redis.get(key) dans les endpoints. Ajoute un décorateur @cache(ttl=60) pour mettre en cache automatiquement certaines fonctions. Utilise Redis pour stocker des sessions ou des jobs temporaires. Monitorer via RedisInsight.",analysis
updateMday_golden_0055,Installe spacy et télécharge un modèle (fr_core_news_md). Crée un pipeline avec TextCategorizer. Entraîne-le sur un dataset labellisé (ex: JSONL). Sauvegarde le modèle avec nlp.to_disk('model'). Charge-le ensuite dans FastAPI pour l’inférence. Intègre un endpoint /classify qui reçoit un texte et renvoie la catégorie prédite.,analysis
updateMday_golden_0056,"Déclare un endpoint @app.websocket(/ws""). Gère la connexion avec await websocket.accept()",analysis
updateMday_golden_0057,"Structure ton projet avec : /data, /models, /src, /scripts. Utilise DVC pour versionner les données. Crée une CI/CD (GitHub Actions) qui : entraîne, teste, valide et déploie le modèle. Stocke les artefacts dans S3. Utilise MLflow pour le suivi des expériences. Automatise le déploiement avec Docker et FastAPI pour servir le modèle.",analysis
updateMday_golden_0058,"Crée un Dockerfile avec base python:3.10-slim, copie ton code et exécute uvicorn main:app --host 0.0.0.0 --port 8000. Ajoute un requirements.txt. Crée un .dockerignore. Build avec docker build -t fastapi-app . et run avec docker run -p 8000:8000 fastapi-app. Pour le dev, ajoute un docker-compose.yml avec un service DB.",analysis
updateMday_golden_0059,"Utilise useState et useEffect pour charger les données via API. Mappe les lignes dans un <table>. Ajoute des filtres via input contrôlés. Ajoute la pagination client-side. Pour les gros volumes, intègre React Table ou AG-Grid. Stylise avec Tailwind. Ajoute des boutons d’action (éditer/supprimer) par ligne.",analysis
updateMday_golden_0060,"Utilise les handlers d’exceptions : @app.exception_handler(Exception). Crée un HTTPException(status_code=400, detail='message'). Personnalise la réponse JSON avec un modèle Pydantic ErrorResponse. Configure un middleware global pour loguer les erreurs et inclure un trace_id. En production, évite de retourner les stacktraces complètes.",analysis
updateMday_golden_0061,"Crée plusieurs routers (api_v1, api_v2). Monte-les dans main.py avec app.include_router(api_v1, prefix=/api/v1""). Versionne tes endpoints en cas de changements majeurs. Documente chaque version. Ajoute un middleware pour rediriger les clients vers la version par défaut si aucune n’est spécifiée.""",analysis
updateMday_golden_0062,"Crée un webhook Monday pointant vers /webhook de ton agent. L’agent reçoit les updates (status, columns). Il interprète les instructions via un modèle LLM et déclenche des actions automatisées : création de PR, génération de documentation, analyse de code. Une validation humaine peut être demandée avant l’exécution finale.",analysis
updateMday_golden_0063,"Utilise un service managé comme AWS RDS ou Render. Crée une instance, définis les paramètres (version, vCPU, RAM, stockage). Configure les credentials et la sécurité réseau (VPC, firewall). Connecte ton backend via la variable d’environnement DATABASE_URL. Active les sauvegardes automatiques et la surveillance CloudWatch.",analysis
updateMday_golden_0064,"Importe from fastapi.middleware.cors import CORSMiddleware. Ajoute app.add_middleware(CORSMiddleware, allow_origins=['*'], allow_methods=['*'], allow_headers=['*']). Restreins en production à ton domaine frontend. Cela permet à ton app React d’appeler l’API sans erreur CORS.",analysis
updateMday_golden_0065,Utilise pytest et httpx.AsyncClient. Crée un fichier test_api.py avec des fonctions async def test_route(): response = await client.get('/health'). Vérifie le status_code et le contenu. Mocke la base avec sqlite:///:memory:. Exécute les tests avec pytest -v. Intègre dans GitHub Actions pour CI.,analysis
updateMday_golden_0066,Utilise Redis Cluster ou Memcached. Configure des nœuds maîtres/réplicas. L’application utilise un client avec un pool de connexions. Utilise une clé unique (hashée) pour chaque donnée. Gère l’expiration automatique. Synchronise les caches après mise à jour via un message broker (RabbitMQ).,analysis
updateMday_golden_0067,"Installe celery et redis. Déclare un objet Celery celery = Celery('tasks', broker='redis://localhost:6379/0'). Crée des fonctions avec le décorateur @celery.task. Appelle task.delay() pour exécuter en arrière-plan. Démarre un worker avec celery -A app.tasks worker --loglevel=info. Utilise Flower pour le monitoring.",analysis
updateMday_golden_0068,"Crée un modèle User avec un champ role. Ajoute un décorateur @require_role(['admin']) qui vérifie le rôle depuis le token JWT. Implémente une table permissions si nécessaire. Dans React, masque les boutons non autorisés selon le rôle. Ajoute une page 403 pour les accès refusés.",analysis
updateMday_golden_0069,"Indexe les données avec Whoosh ou Elasticsearch. Crée un index sur les champs pertinents (titre, contenu, tags). Implémente un endpoint /search?q=... qui interroge l’index. Trie les résultats par score de pertinence. Met à jour l’index après chaque modification. Ajoute la recherche instantanée côté frontend.",analysis
updateMday_golden_0070,"Crée un module external_api_tool.py. Utilise httpx.AsyncClient pour faire les requêtes GET/POST. Gère les clés API dans les variables d’environnement. Implémente une fonction call_api(endpoint, payload) avec gestion des timeouts et des retries. Parse les réponses JSON pour les transformer en données exploitables par l’agent.",analysis
updateMday_golden_0071,"Utilise Redis Pub/Sub ou un broker RabbitMQ. Chaque agent s’abonne à un canal spécifique et publie des messages structurés JSON (event_type, payload). Les messages sont traités par des callbacks. Cela permet une communication décentralisée et scalable. Ajoute un système d’ACK et de retry pour la fiabilité.",analysis
updateMday_golden_0072,"Un projet Django standard contient : 1) un dossier principal avec settings.py, urls.py, wsgi.py, et asgi.py ; 2) un dossier apps/ contenant les applications (chaque app avec models.py, views.py, urls.py, templates/, admin.py, et tests.py) ; 3) un répertoire static/ pour les fichiers CSS/JS ; et 4) un dossier templates/ global pour les vues HTML. On lance le projet avec django-admin startproject mon_projet puis python manage.py startapp mon_app.",analysis
updateMday_golden_0073,"Crée un fichier articles.html dans /templates contenant un <ul> avec une boucle Jinja : {% for article in articles %}<li>{{ article.titre }}</li>{% endfor %}. Ajoute une route dans Django ou FastAPI pour rendre le template avec return templates.TemplateResponse('articles.html', {'articles': data}). Ajoute du style avec Tailwind ou Bootstrap.",analysis
updateMday_golden_0074,"Dans models.py, crée une classe héritant de models.Model : class Article(models.Model): titre = models.CharField(max_length=100); contenu = models.TextField(); date_pub = models.DateTimeField(auto_now_add=True). Ensuite exécute python manage.py makemigrations puis python manage.py migrate pour appliquer le modèle en base. Vérifie dans l’admin Django.",analysis
updateMday_golden_0075,"Dans admin.py, enregistre les modèles : from .models import Article; admin.site.register(Article). Connecte-toi à /admin après avoir créé un superutilisateur via python manage.py createsuperuser. L’interface permet d’ajouter, modifier et supprimer des objets. Tu peux personnaliser les colonnes affichées avec list_display et les filtres avec list_filter.",analysis
updateMday_golden_0076,"Crée un fichier form.html avec <form method='POST' action='/submit'> et des <input> pour les champs. Dans FastAPI, définis une route @app.post('/submit') qui récupère les données via Form(...). Retourne une réponse HTML ou JSON. Ajoute une validation côté client avec JavaScript et côté serveur avec Pydantic.",analysis
updateMday_golden_0077,"Utilise from fastapi.staticfiles import StaticFiles puis app.mount('/static', StaticFiles(directory='static'), name='static'). Mets tes fichiers CSS, JS, images dans ce dossier. Dans les templates Jinja2, appelle-les via /static/filename.css. En production, configure Nginx pour servir ces fichiers directement.",analysis
updateMday_golden_0078,"Structure ton projet avec : /src/components (UI), /src/pages (vues), /src/hooks, /src/services (API), /src/context (gestion globale d’état). Utilise App.jsx comme point d’entrée et index.jsx pour le rendu. Configure React Router pour la navigation. Utilise Vite ou Create React App pour le build.",analysis
updateMday_golden_0079,"Dans ton composant liste, ajoute <button onClick={() => handleDelete(item.id)}>Supprimer</button>. Implémente handleDelete qui appelle ton API DELETE (axios.delete('/items/' + id)). Mets à jour ton state local pour retirer l’élément supprimé sans recharger la page. Ajoute une confirmation avec window.confirm().",analysis
updateMday_golden_0080,"Dans FastAPI, utilise from fastapi.responses import FileResponse. Crée une route @app.get('/download/{filename}') qui retourne FileResponse(f'files/{filename}', media_type='application/octet-stream', filename=filename). Vérifie l’accès avec un token. Ajoute un header Content-Disposition pour forcer le téléchargement.",analysis
updateMday_golden_0081,"Crée un module ml/ avec ton modèle model.pkl. Dans views.py, charge le modèle avec joblib.load('ml/model.pkl') et crée une vue /predict qui reçoit un POST JSON, transforme les données, appelle model.predict(), et renvoie le résultat. Ajoute une page HTML avec un formulaire pour tester la prédiction.",analysis
updateMday_golden_0082,"Dans base.html, ajoute le lien CDN Bootstrap dans le <head>. Utilise les classes Bootstrap (container, btn, form-control) dans tes templates. Pour des composants interactifs (modales, dropdowns), importe aussi le JS Bootstrap et Popper.js. Tu peux également installer via npm et gérer avec Webpack.",analysis
updateMday_golden_0083,"Connecte ton repo GitHub à Render. Choisis “Django” comme type d’app. Configure les variables d’environnement (SECRET_KEY, DATABASE_URL). Render détecte automatiquement le fichier manage.py. Spécifie la commande de démarrage : gunicorn mon_projet.wsgi. Active l’autoscaling et les migrations automatiques.",analysis
updateMday_golden_0084,"Crée .github/workflows/test.yml avec un job Python. Installe les dépendances (pip install -r requirements.txt), configure une base SQLite, et lance python manage.py test. Ajoute une matrice Python 3.9/3.10. Ajoute un badge dans ton README pour afficher le statut CI. Configure la coverage avec pytest-cov.",analysis
updateMday_golden_0085,"Installe requests, crée une vue meteo_view qui appelle requests.get('https://api.openweathermap.org/...') avec la clé API. Parse le JSON et passe les données au template meteo.html. Ajoute un champ de recherche pour la ville. Affiche la température, la description, et une icône dynamique.",analysis
